시도,시군구,발생년도,2014년,2014년,2015년,2015년,2016년,2016년,2017년,2017년,2018년,2018년
시도,시군구,발생년도,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상
경기,양평군,사고건수,21,30,48,47,48,38,44,50,48,58
경기,양평군,사망자수,0,10,2,7,2,2,2,4,1,4
경기,양평군,부상자수,28,26,74,73,83,52,69,69,65,87
경기,이천시,사고건수,34,34,39,46,42,48,57,47,78,63
경기,이천시,사망자수,2,2,2,3,0,7,4,6,2,2
경기,이천시,부상자수,63,65,60,82,76,60,82,73,120,93
경기,용인시,사고건수,106,78,151,111,142,119,166,153,182,159
경기,용인시,사망자수,2,0,3,1,3,2,5,7,3,3
경기,용인시,부상자수,157,98,250,163,293,182,260,257,280,222
경기,안성시,사고건수,40,51,50,61,44,59,61,54,81,60
경기,안성시,사망자수,1,1,4,3,2,0,2,1,1,1
경기,안성시,부상자수,79,85,73,103,78,93,97,90,124,84
경기,김포시,사고건수,70,44,81,72,86,75,103,66,97,113
경기,김포시,사망자수,0,1,2,1,1,3,2,3,3,1
경기,김포시,부상자수,109,60,123,106,127,120,145,82,165,173
경기,동두천시,사고건수,27,22,29,28,20,27,30,21,31,31
경기,동두천시,사망자수,2,1,0,0,0,0,1,1,2,1
경기,동두천시,부상자수,36,29,52,38,30,34,39,41,40,41
경기,과천시,사고건수,8,6,12,6,7,10,14,11,16,15
경기,과천시,사망자수,0,0,0,0,0,0,0,0,0,0
경기,과천시,부상자수,11,7,15,9,13,11,30,19,31,21
경기,군포시,사고건수,37,26,44,22,36,21,39,36,37,31
경기,군포시,사망자수,0,2,0,3,0,0,3,0,0,0
경기,군포시,부상자수,47,39,62,32,54,37,52,55,51,40
경기,남양주시,사고건수,92,49,99,78,122,103,140,98,180,114
경기,남양주시,사망자수,4,0,0,4,4,4,1,6,9,4
경기,남양주시,부상자수,151,79,148,114,231,169,206,145,286,177
경기,오산시,사고건수,24,18,27,18,30,23,41,24,54,31
경기,오산시,사망자수,0,2,1,0,1,0,1,2,1,0
경기,오산시,부상자수,44,21,32,19,42,36,90,39,79,39
경기,의왕시,사고건수,20,14,25,19,34,23,23,15,32,16
경기,의왕시,사망자수,0,0,0,0,0,0,0,0,0,1
경기,의왕시,부상자수,25,15,36,23,53,27,33,22,46,24
경기,하남시,사고건수,41,31,51,36,49,20,55,32,87,44
경기,하남시,사망자수,0,1,1,2,0,0,2,2,4,0
경기,하남시,부상자수,90,35,80,46,67,30,74,41,137,61
강원,춘천시,사고건수,107,93,105,105,122,112,101,112,100,111
강원,춘천시,사망자수,4,4,2,4,0,3,0,3,1,5
강원,춘천시,부상자수,155,148,193,158,203,177,149,155,162,164
강원,원주시,사고건수,92,92,97,106,104,121,133,118,133,111
